playerKey,playerId,name,position,projMikeClayBasePts,projFantasyProsBasePts,projSleeperBasePts,tradyrIsRookie,lastSeasonSfb,pre_bonus_proj_pts,pos_rank_prebonus,tier_bonus,proj_pts,weekly_pts,VOLS,VORP,VBD,vbd_rank,adp,value_vs_adp,tier,pos_tier
courtland-sutton,5045,Courtland Sutton,WR,171.8,169.98,139.5,FALSE,395.2,163.04250000000002,30,144,320.266125,18.83918382352941,93.2746875,195.077125,288.3518125,64,92.52,28.519999999999996,19,6
alec-pierce,8142,Alec Pierce,WR,166.4,175.89,157,FALSE,367.3,167.60875,26,144,319.96243749999996,18.821319852941173,92.97099999999998,194.77343749999997,287.74443749999995,65,94.69,29.689999999999998,19,6
omarion-hampton,12507,Omarion Hampton,RB,254.6,240.65,221.9,FALSE,176.2,241.19375,10,103,318.9946875,18.764393382352942,92.00325000000001,193.8056875,285.8089375,66,25.99,-40.010000000000005,19,3
bryce-young,9228,Bryce Young,QB,304.56,310.87,282.26,FALSE,371.04,301.35125,25,89,387.4545625,22.791444852941176,16.205000000000098,262.2655625,278.4705625000001,67,131.45,64.44999999999999,20,8
jaylen-waddle,7526,Jaylen Waddle,WR,174.8,167.92,155,FALSE,333.62,167.27,27,144,314.6225,18.50720588235294,87.63106250000001,189.4335,277.0645625,68,59.32,-8.68,20,6
breece-hall,8155,Breece Hall,RB,251.9,233,199.6,FALSE,348.16,231.7375,14,72.5,310.825875,18.283875,83.8344375,185.636875,269.4713125,69,46.2,-22.799999999999997,21,3
dk-metcalf,5846,DK Metcalf,WR,162.6,162.61,152.3,FALSE,343.2,160.02875,33,144,309.90443750000003,18.229672794117647,82.91300000000004,184.71543750000004,267.6284375000001,70,94.14,24.14,21,6
travis-kelce,1466,Travis Kelce,TE,212,224.99,198.5,FALSE,382.7,213.49625,8,82.67,309.14631249999996,18.18507720588235,82.15487499999998,183.95731249999997,266.11218749999995,71,99.52,28.519999999999996,21,2
dj-moore,4983,DJ Moore,WR,173.7,172.58,149.5,FALSE,294.18,167.23,28,144,308.6725,18.15720588235294,81.68106250000002,183.48350000000002,265.16456250000005,72,68.86,-3.1400000000000006,21,6
jeremiyah-love,13287,Jeremiyah Love,RB,248.3,232.82,214.5,TRUE,0,234.04500000000002,13,72.5,306.545,18.03205882352941,79.55356250000003,181.35600000000002,260.90956250000005,73,36.38,-36.62,22,3
parker-washington,9487,Parker Washington,WR,150.9,0,158.2,FALSE,350.2,153.82,35,144,305.67699999999996,17.980999999999998,78.68556249999997,180.48799999999997,259.17356249999995,74,95.42,21.42,22,6
carnell-tate,13279,Carnell Tate,WR,175.8,150.72,154.8,TRUE,0,161.145,31,144,305.145,17.94970588235294,78.15356249999999,179.956,258.1095625,75,73.62,-1.3799999999999955,22,6
luther-burden,12519,Luther Burden,WR,166.2,170.71,166.7,FALSE,248.4,168.01624999999999,25,144,302.4738125,17.792577205882353,75.48237500000002,177.28481250000002,252.76718750000003,76,52.88,-23.119999999999997,23,6
kyren-williams,8150,Kyren Williams,RB,230.2,228.98,189.3,FALSE,345.8,219.51749999999998,17,72.5,300.08487499999995,17.652051470588233,73.09343749999996,174.89587499999996,247.98931249999993,77,49.2,-27.799999999999997,24,3
kenneth-walker,8151,Kenneth Walker,RB,0,231.05,212,FALSE,322.9,223.43,15,72.5,299.9755,17.645617647058824,72.98406250000002,174.78650000000002,247.77056250000004,78,24.07,-53.93,24,3
geno-smith,1373,Geno Smith,QB,300.52,295.99,288.48,FALSE,294.4,295.81125,26,89,371.2495624999999,21.838209558823525,0,246.06056249999992,246.06056249999992,79,168.05,89.05000000000001,24,9
george-kittle,4217,George Kittle,TE,228.2,0,180.4,FALSE,336.5,209.07999999999998,9,82.67,298.4625,17.556617647058822,71.47106249999999,173.27349999999998,244.74456249999997,80,100.62,20.620000000000005,24,2
kyler-murray,5849,Kyler Murray,QB,310.1,343.68,320.2,FALSE,122.28,325.2175,21,89,370.42687499999994,21.789816176470584,-0.8226874999999723,245.23787499999995,244.41518749999997,81,93.63,12.629999999999995,24,9
javonte-williams,7588,Javonte Williams,RB,244,217.83,187.8,FALSE,319.8,220.13625000000002,16,72.5,296.7108125,17.45357720588235,69.71937499999999,171.52181249999998,241.24118749999997,82,59.61,-22.39,24,3
travis-etienne,7543,Travis Etienne,RB,219.8,214.08,197.9,FALSE,360.4,212.18,18,72.5,296.038,17.414,69.04656250000002,170.84900000000002,239.89556250000004,83,56.59,-26.409999999999997,24,3
christian-watson,8167,Christian Watson,WR,157.8,163.36,159.9,FALSE,245.9,160.41000000000003,32,144,295.6335,17.390205882352944,68.64206250000004,170.44450000000003,239.08656250000007,84,75.38,-8.620000000000005,24,7
cam-ward,12522,Cam Ward,QB,0,292.86,286.84,FALSE,281.16,290.452,27,89,364.7082,21.453423529411765,-6.541362499999934,239.51919999999998,232.97783750000005,85,103.86,18.86,25,9
dallas-goedert,5022,Dallas Goedert,TE,213.4,212.11,168.5,FALSE,329.6,201.69125000000003,11,82.67,291.14706250000006,17.12629779411765,64.15562500000007,165.95806250000007,230.11368750000014,86,111.39,25.39,25,2
sam-laporta,10859,Sam LaPorta,TE,225.8,218.63,211.1,FALSE,216.9,219.43625,7,82.67,289.3253125,17.019136029411765,62.333875000000006,164.1363125,226.4701875,87,69.74,-17.260000000000005,25,2
marvin-harrison,11628,Marvin Harrison,WR,160.1,164.13,145.7,FALSE,210.3,158.01125,34,144,288.2545625,16.95615073529412,61.26312500000003,163.06556250000003,224.32868750000006,88,90.26,2.260000000000005,25,8
aaron-rodgers,96,Aaron Rodgers,QB,286.46,281.21,224,FALSE,362.08,268.87624999999997,28,89,358.50681249999997,21.088636029411763,-12.742749999999944,233.31781249999997,220.57506250000003,89,176.88,87.88,25,9
brian-thomas,11631,Brian Thomas,WR,146.8,0,152.9,FALSE,240.8,149.24,36,144,285.37399999999997,16.78670588235294,58.38256249999998,160.18499999999997,218.56756249999995,90,87.11,-2.8900000000000006,25,8
jake-ferguson,8110,Jake Ferguson,TE,205.5,0,196.8,FALSE,286.1,202.01999999999998,10,82.67,284.9015,16.758911764705882,57.91006250000001,159.7125,217.62256250000002,91,106.11,15.11,25,2
mike-evans,2216,Mike Evans,WR,155.3,164.22,173,FALSE,139.8,163.07,29,144,281.97950000000003,16.587029411764707,54.98806250000004,156.79050000000004,211.77856250000008,92,70.77,-21.230000000000004,25,8
jacoby-brissett,3257,Jacoby Brissett,QB,251.36,291.73,203,FALSE,384.94,254.40875,29,89,349.63843749999995,20.566966911764702,-21.61112499999996,224.44943749999996,202.8383125,93,160.43,67.43,26,9
malik-willis,8161,Malik Willis,QB,292.66,331.43,297.78,FALSE,72.68,308.47875,24,89,348.75893749999994,20.515231617647057,-22.490624999999966,223.56993749999995,201.0793125,94,115.86,21.86,26,9
d-andre-swift,6790,D'Andre Swift,RB,195.3,206.69,177.4,FALSE,307.6,195.09625,22,72.5,273.5968125,16.093930147058824,46.60537500000001,148.4078125,195.01318750000002,95,76.14,-18.86,27,4
tucker-kraft,9484,Tucker Kraft,TE,194,197.9,198.8,FALSE,237.2,196.66250000000002,12,82.67,273.012625,16.05956617647059,46.021187500000025,147.82362500000002,193.84481250000005,96,57.74,-38.26,27,3
cam-skattebo,12481,Cam Skattebo,RB,219.7,224.49,170.7,FALSE,173.2,209.24624999999997,19,72.5,265.46431249999995,15.615547794117644,38.47287499999996,140.27531249999996,178.74818749999991,97,66.18,-30.819999999999993,28,5
